ogc_fid,nodeid,vintersect,version,created,masterid,is_int,manual_fix,is_cntrln_int
"19124",20213,,19d,2019-12-13T10:04:53.983,"20213","1","0","1"
"19125",20214,,19d,2019-12-13T10:04:53.983,"20214","1","0","1"
"19126",20215,,19d,2019-12-13T10:04:53.983,"20215","1","0","1"
"19127",20216,,19d,2019-12-13T10:04:53.983,"20216","1","0","1"
"19128",20217,,19d,2019-12-13T10:04:53.983,"20217","1","0","1"
"19129",20218,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19130",20219,,19d,2019-12-13T10:04:53.983,"20219","1","0","1"
"19131",20220,,19d,2019-12-13T10:04:53.983,"20220","1","0","1"
"19132",20221,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19133",20222,,19d,2019-12-13T10:04:53.983,"64537","1","0","1"
"19134",20225,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19135",20226,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19136",20228,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19137",20230,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19138",20231,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19139",20232,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19140",20233,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19141",20234,,19d,2019-12-13T10:04:53.983,"9040170","1","0","1"
"19142",20235,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19143",20237,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19144",20238,,19d,2019-12-13T10:04:53.983,"20238","1","0","1"
"19145",20239,,19d,2019-12-13T10:04:53.983,"20239","1","0","1"
"19146",20240,,19d,2019-12-13T10:04:53.983,"9040170","1","0","1"
"19147",20241,,19d,2019-12-13T10:04:53.983,"20241","1","0","1"
"19148",20242,,19d,2019-12-13T10:04:53.983,"20245","1","0","1"
"19149",20243,,19d,2019-12-13T10:04:53.983,"20245","1","0","1"
"19150",20244,,19d,2019-12-13T10:04:53.983,"20245","1","0","1"
"19151",20245,,19d,2019-12-13T10:04:53.983,"20245","1","0","1"
"19152",20246,,19d,2019-12-13T10:04:53.983,"66000","1","0","1"
"19153",20247,,19d,2019-12-13T10:04:53.983,"20247","1","0","1"
"19154",20248,,19d,2019-12-13T10:04:53.983,"20248","1","0","1"
"19155",20249,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19156",20250,,19d,2019-12-13T10:04:53.983,"20250","1","0","1"
"19157",20251,,19d,2019-12-13T10:04:53.983,"20251","1","0","1"
"19158",20252,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19159",20253,,19d,2019-12-13T10:04:53.983,"20253","1","0","1"
"19160",20254,,19d,2019-12-13T10:04:53.983,"20254","1","0","1"
"19161",20255,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19162",20257,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19163",20258,,19d,2019-12-13T10:04:53.983,"9040170","1","0","1"
"19164",20259,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19165",20260,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19166",20262,,19d,2019-12-13T10:04:53.983,"9040170","1","0","1"
"19167",20263,,19d,2019-12-13T10:04:53.983,"20263","1","0","1"
"19168",20264,,19d,2019-12-13T10:04:53.983,"20264","1","0","1"
"19169",20265,,19d,2019-12-13T10:04:53.983,"20265","1","0","1"
"19170",20266,,19d,2019-12-13T10:04:53.983,"66079","1","0","1"
"19171",20267,,19d,2019-12-13T10:04:53.983,"20385","1","0","1"
"19172",20268,,19d,2019-12-13T10:04:53.983,"20268","1","0","1"
"19173",20269,,19d,2019-12-13T10:04:53.983,"20269","1","0","1"
"19174",20270,,19d,2019-12-13T10:04:53.983,"20270","1","0","1"
"19175",20271,,19d,2019-12-13T10:04:53.983,"20271","1","0","1"
"19176",20272,,19d,2019-12-13T10:04:53.983,"20272","1","0","1"
